XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
153,rice straw,Trichoderma reesei ATCC 66589,xylanase,1500,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 151, realised in a 2L jar.",2017,52
153,rice straw,Trichoderma reesei ATCC 66589,CMCase,240,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 151, realised in a 2L jar.",2017,52
153,rice straw,Trichoderma reesei ATCC 66589,p-nitrophenyl xylosidase,0.87,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 151, realised in a 2L jar.",2017,52
153,rice straw,Trichoderma reesei ATCC 66589,p-nitrophenyl lactosidase,0.97,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 151, realised in a 2L jar.",2017,52
154,rice straw,Humicola insolens ATCC 26908,xylanase,10.4,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 152, realised in a 2L jar.",2017,52
154,rice straw,Humicola insolens ATCC 26908,CMCase,5.5,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 152, realised in a 2L jar.",2017,52
154,rice straw,Humicola insolens ATCC 26908,p-nitrophenyl xylosidase,0.33,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 152, realised in a 2L jar.",2017,52
154,rice straw,Humicola insolens ATCC 26908,p-nitrophenyl lactosidase,0.17,U/mL,168,"Washed, air-dried, ground (375µm), soaked in alkali solution (1.25% NH3(aq) ; 72h ; 4°C) then 2 N (NH4)2SO4.","1L of medium: 0,4% corn steep liquor. Addition of 3% (w/v) rice straw after 3 days.",None,Inoculum (10% v/v) ; T°=30°C ; air flow =1vvm ; shaker 300 rpm.,"Yield values are approximate. This experiment is an upscaling of xp 152, realised in a 2L jar.",2017,52
155,corn cob,aspergillus niger,α-amylase,81.86,U/mL,144,"Cut (<1cm), dried (24h ; 70°C), autoclaved (15mn ; 121°C).","for 30gs, 60mL of solution: 0.6 g (NH4)2SO4 ; 0.18 g KH2PO4 ; 0.18 g K2HPO4 ; 0.03g MgSO4.7H2O ; 1g maltose ; 1g lactose.",OFAT,pH=7 ; MR 1:2 (v/v) ; Inoculum (3% v/v) ; T°=30°C.,"Article states: ""Production of 100g dry enzyme, recquired 600g of substrate fermentation"".",2017,53
155,corn cob,aspergillus niger,β-glucosidase,95.01,U/mL,144,"Cut (<1cm), dried (24h ; 70°C), autoclaved (15mn ; 121°C).","for 30gs, 60mL of solution: 0.6 g (NH4)2SO4 ; 0.18 g KH2PO4 ; 0.18 g K2HPO4 ; 0.03g MgSO4.7H2O ; 1g maltose ; 1g lactose.",OFAT,pH=7 ; MR 1:2 (v/v) ; Inoculum (3% v/v) ; T°=30°C.,"Article states: ""Production of 100g dry enzyme, recquired 600g of substrate fermentation"".",2017,53
156,rice husk,aspergillus niger,α-amylase,65.95,U/mL,144,"Cut (<1cm), dried (24h ; 70°C), autoclaved (15mn ; 121°C).","for 30gs, 60mL of solution: 0.6 g (NH4)2SO4 ; 0.18 g KH2PO4 ; 0.18 g K2HPO4 ; 0.03g MgSO4.7H2O ; 1g maltose ; 1g lactose.",OFAT,pH=7 ; MR 1:2 (v/v) ; Inoculum (3% v/v) ; T°=30°C.,,2017,53
156,rice husk,aspergillus niger,β-glucosidase,31.91,U/mL,144,"Cut (<1cm), dried (24h ; 70°C), autoclaved (15mn ; 121°C).","for 30gs, 60mL of solution: 0.6 g (NH4)2SO4 ; 0.18 g KH2PO4 ; 0.18 g K2HPO4 ; 0.03g MgSO4.7H2O ; 1g maltose ; 1g lactose.",OFAT,pH=7 ; MR 1:2 (v/v) ; Inoculum (3% v/v) ; T°=30°C.,,2017,53
157,wheat bran,Lichtheimia ramosa,β-glucosidase,274,U/gds,96,"Washed, dried (24h ; 60°C) autoclaved (20mn ; 121°C).","Nutrient solution used as inoculum (w/v): 0,1% (NH4)2SO4 ; 0,1% MgSO4.7H2O ; 0,1% NH4NO3.",OFAT,pH=5 ; MC=65% ; Inoculum (5mL) ; T°=35°C.,"The objective of this study was to optimize β-glucosidase production. Other substrates such as corn cob, corn straw and rice peel were tested (before optimisation) but they resulted in at least 46-fold lower β-glucosidase activities.",2015,54
157,wheat bran,Lichtheimia ramosa,CMCase,152.1,U/gds,96,"Washed, dried (24h ; 60°C) autoclaved (20mn ; 121°C).","Nutrient solution used as inoculum (w/v): 0,1% (NH4)2SO4 ; 0,1% MgSO4.7H2O ; 0,1% NH4NO3.",OFAT,pH=5 ; MC=65% ; Inoculum (5mL) ; T°=35°C.,"The objective of this study was to optimize β-glucosidase production. Other substrates such as corn cob, corn straw and rice peel were tested (before optimisation) but they resulted in at least 46-fold lower β-glucosidase activities.",2015,54
157,wheat bran,Lichtheimia ramosa,xylanase,28.5,U/gds,96,"Washed, dried (24h ; 60°C) autoclaved (20mn ; 121°C).","Nutrient solution used as inoculum (w/v): 0,1% (NH4)2SO4 ; 0,1% MgSO4.7H2O ; 0,1% NH4NO3.",OFAT,pH=5 ; MC=65% ; Inoculum (5mL) ; T°=35°C.,"The objective of this study was to optimize β-glucosidase production. Other substrates such as corn cob, corn straw and rice peel were tested (before optimisation) but they resulted in at least 46-fold lower β-glucosidase activities.",2015,54
157,wheat bran,Lichtheimia ramosa,β-xylosidase,11.7,U/gds,96,"Washed, dried (24h ; 60°C) autoclaved (20mn ; 121°C).","Nutrient solution used as inoculum (w/v): 0,1% (NH4)2SO4 ; 0,1% MgSO4.7H2O ; 0,1% NH4NO3.",OFAT,pH=5 ; MC=65% ; Inoculum (5mL) ; T°=35°C.,"The objective of this study was to optimize β-glucosidase production. Other substrates such as corn cob, corn straw and rice peel were tested (before optimisation) but they resulted in at least 46-fold lower β-glucosidase activities.",2015,54
158,mixture (rice straw ; corn husk),Pleurotus ostreatus MTCC 142,laccase,150,U/g protein,336,Mixture autoclaved (NA).,"for 3gs, 10ml of solution (g/L): 0,3 NH4Cl ; 0,2 KH2PO4 ; 0,1 MgSO4 ; 1 CaCO3 ; Supplements (w/v): 0,5% fructose ; 0,1% KNO3 ; 0,05% Tween 20 ; 10mM CuSO4.",OFAT,"pH=5,8±0,2 ; MC=70% ; Inoculum (2 mycelial plugs ø6mm) ; T°=25°±2°C.","Substrate proportions (w/w): 1:1. After purification, laccase specific activity was enhanced by 2,1.",2016,55
159,rice straw,Schizophyllum commune ARC-11,xylanase,10196.53,U/gds,192,"Washed, dried, ground (250-1400µm), autoclaved (30mn ; 121°C).","0,08% (available N) (NH4)2SO4 ; 0,1% (w/v) Tween 20.",OFAT,pH=7 ; MC=70% ; Inoculum (5 fungal discs ; T°=30°C.,"The authors also indicated the presence of cellulase in very small amounts. In unoptimized experiments, maize bran, wheat straw and wheat bran were identified as other interesting carbon sources, with productions between 83,6 and 92,3% of the xylanase production from rice straw.",2018,56
160,corn (dried distiller grains with solubles),Trichoderma atroviride IOC 4503,phytase,2084800,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,04 ; water retention=0,35mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 30,16% (w/w) crude protein. Highest yield obtained in the study.",2019,57
161,corn (dried distiller grains with solubles),Trichoderma koningii INCQS 40331,phytase,37400,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,04 ; water retention=0,35mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 30,16% (w/w) crude protein.",2019,57
162,corn (dried distiller grains with solubles),Trichoderma harzianum IOC 3844,phytase,937900,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,04 ; water retention=0,35mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 30,16% (w/w) crude protein.",2019,57
163,sorghum (dried distiller grains with solubles),Trichoderma atroviride IOC 4503,phytase,1013200,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein. 3rd highest yield obtained in the study.",2019,57
164,sorghum (dried distiller grains with solubles),Trichoderma koningii INCQS 40331,phytase,60400,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein.",2019,57
165,sorghum (dried distiller grains with solubles),Trichoderma harzianum IOC 3844,phytase,190200,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein.",2019,57
166,wheat bran,Trichoderma atroviride IOC 4503,phytase,784300,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein.",2019,57
167,wheat bran,Trichoderma koningii INCQS 40331,phytase,50800,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein.",2019,57
168,wheat bran,Trichoderma harzianum IOC 3844,phytase,19700,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein.",2019,57
169,corn (dried distiller grains with solubles),Aspergillus niger CBMAI 2084,phytase,541400,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,04 ; water retention=0,35mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 30,16% (w/w) crude protein.",2019,57
170,corn (dried distiller grains with solubles),Aspergillus niger 40015,phytase,333100,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,04 ; water retention=0,35mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 30,16% (w/w) crude protein.",2019,57
171,sorghum (dried distiller grains with solubles),Aspergillus niger CBMAI 2084,phytase,332600,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein.",2019,57
172,sorghum (dried distiller grains with solubles),Aspergillus niger 40015,phytase,43500,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein.",2019,57
173,sorghum (dried distiller grains with solubles),Aspergillus ustus IOC 4410,phytase,9300,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=4,20 ; water retention=0,37mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 36,92% (w/w) crude protein.",2019,57
174,wheat bran,Aspergillus niger CBMAI 2084,phytase,1536400,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein. 2nd highest yield obtained in the study.",2019,57
175,wheat bran,Aspergillus niger 40015,phytase,332900,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein.",2019,57
176,wheat bran,Aspergillus ustus IOC 4410,phytase,1300,U/g protein,120,NA,(Auxin inducer: 1% w/w tryptophan).,NA,"pH=5,91 ; water retention=0,56mL/cm3 ; Inoculum (1E7 spores/mL ; 2mL) ; T°=30°C.","The study aimed to screen several strains and substrates for optimal phytase and auxin production. Substrate contained 17,00% (w/w) crude protein.",2019,57
177,wheat bran,Aspergillus flavus NFCCI 2364,fructosyltransferase,97.44,U/gds,96,"Washed, blenched (soaked in hot water ; 10mn ; 70-80°C), dried (45°C), ground (NA). Mixture autoclaved (15mn ; 121°C ; 15lbs).","1mL/gds distilled water with 0,1 g/gds YE.",None,Inoculum (1E7 spores) ; 28°C.,This study aimed to optimize the formation of fructooligosaccharides (FOS) through the production of FTase. Sugarcane bagasse was found to be the best substrate tested and was used for further optimisation. Wheat bran presented a good Ftase activity but resulted in low FOS formation.,2017,58
178,corn straw,Aspergillus flavus NFCCI 2364,fructosyltransferase,74.12,U/gds,96,"Washed, blenched (soaked in hot water ; 10mn ; 70-80°C), dried (45°C), ground (NA). Mixture autoclaved (15mn ; 121°C ; 15lbs).","1mL/gds distilled water with 0,1 g/gds YE.",None,Inoculum (1E7 spores) ; 28°C.,This study aimed to optimize the formation of fructooligosaccharides (FOS) through the production of FTase. Sugarcane bagasse was found to be the best substrate tested and was used for further optimisation. Corn straw presented very average results (more than 2-fold less activity than sugarcane bagasse).,2017,58
179,wheat bran,Aureobasidium pullulans NRRL Y-2311-1,xylanase,90,U/mL,126,Sterilised (20mn ; 121°C).,"for 15gs, 1,5L of medium (g/L): 1 YE ; 2,5 (NH4)2SO4 ; 5 KH2PO4.", NA (previous study).,"pH=4,24 ; aeration=1,5vvm ; T°=30°C ; agitation 200rpm.","Experience realised in a Bio-Flo 110 Modular Benchtop Fermentor (1,5L working volume) with Rushton impellers. The produced xylanase was reported as extremely halophilic, ethanol tolerant and acidophilic.",2016,59
180,wheat bran,Inonotus obliquus,CMCase,27.15,U/g,240,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
180,wheat bran,Inonotus obliquus,FPase,3.16,U/g,240,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
180,wheat bran,Inonotus obliquus,β-glucosidase,2.53,U/g,288,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
180,wheat bran,Inonotus obliquus,Mn-peroxidase,1603,U/g,120,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
180,wheat bran,Inonotus obliquus,lignin peroxidase,1500,U/g,144,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
180,wheat bran,Inonotus obliquus,laccase,81.94,U/g,216,Dried.,"Salt solution (g/L): 1,7 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 CaCl2 ; 1 peptone ; 0,3 MgSO4 ; 0,005 FeSO4 ; 0,002 MnSO4 ; 0,0016 ZnSO4·7H2O ; 0,0014 CoCl2 ; 1 mL Tween-80.",OFAT,"pH=6 ; Inoculum (40% v/w ; 1E6-1E7 spores/mL) ; MR 1:2,5 ; T°=28°C ; shaker 150rpm.","In unoptimised conditions, wheat bran lead to the highest production of CMCase (almost 2-fold the production of the 2nd best substrate: sugarcane bagasse) and β-glucosidase. Rice straw and wheat straw presented low activities.",2018,60
181,mixture (wheat bran ; soybean meal),Fusarium culmorum ASP 87,L-asparaginase,18.91,U/gds,144,"Dried, ground (3mm), autoclaved (15mn ; 121°C ; 15psi).","Solution added to reach predefined MC (w/w): 0,1% glucose ; 0,1% NH4CL ; 0,05% L-asparagine.",OFAT,pH=7 ; MC=70% ; Inoculum (1E8 spores/mL) ; T°=30°C.,"Substrate proportions (w/w): 1:1. This study is particularly complete: 65 substrates and 13 substrate mixtures were screened. For this experiment, incubation time, MC, particle and inoculum size, T°, choice of carbon and nitrogen supplements were optimised.",2017,61
182,wheat bran,Fusarium culmorum ASP 87,L-asparaginase,6.28,U/gds,144,"Dried, ground (1mm), autoclaved (15mn ; 121°C ; 15psi).","Solution added to reach predefined MC (w/w): 0,05% L-asparagine.",None,pH=7 ; MC=70% ; Inoculum (1E7 spores/mL) ; T°=30°C.,Substrate proportions (w/w): 1:1. This study is particularly complete: 65 substrates and 13 substrate mixtures were screened. This is one of the results for substrate screening before optimisation.,2017,61
183,corn cob,Fusarium culmorum ASP 87,L-asparaginase,6.16,U/gds,144,"Dried, ground (1mm), autoclaved (15mn ; 121°C ; 15psi).","Solution added to reach predefined MC (w/w): 0,05% L-asparagine.",None,pH=7 ; MC=70% ; Inoculum (1E7 spores/mL) ; T°=30°C.,Substrate proportions (w/w): 1:1. This study is particularly complete: 65 substrates and 13 substrate mixtures were screened. This is one of the results for substrate screening before optimisation.,2017,61
184,corn kernel,Fusarium culmorum ASP 87,L-asparaginase,6.6,U/gds,144,"Dried, ground (1mm), autoclaved (15mn ; 121°C ; 15psi).","Solution added to reach predefined MC (w/w): 0,05% L-asparagine.",None,pH=7 ; MC=70% ; Inoculum (1E7 spores/mL) ; T°=30°C.,Substrate proportions (w/w): 1:1. This study is particularly complete: 65 substrates and 13 substrate mixtures were screened. This is one of the results for substrate screening before optimisation.,2017,61
185,waste white bread (from wheat flour),Aspergillus awamori 2B.361U2/1,glucoamylase,114,U/gds,144,"Cut (20mm), sterilised (30mn ; 121°C).",None,OFAT,"pH=6 ; MR 1:1,8 (w/w) ; Inoculum (1E6 spores/g wet bread) ; T°=30°C","Experiment realised in ø9cm petri dishes. Authors state: ""A  98.6% starch conversion to glucose further confirmed the resistance of A. awamori glucoamylase to deactivation by the protease.""",2013,62
185,waste white bread (from wheat flour),Aspergillus awamori 2B.361U2/2,protease,83.2,U/gds,144,"Cut (20mm), sterilised (30mn ; 121°C).",None,OFAT,"pH=6 ; MR 1:1,8 (w/w) ; Inoculum (1E6 spores/g wet bread) ; T°=30°C","Experiment realised in ø9cm petri dishes. Authors state: ""A  98.6% starch conversion to glucose further confirmed the resistance of A. awamori glucoamylase to deactivation by the protease.""",2013,62
186,mixture (wheat bran ; sugarcane bagasse),Aspergillus fumigatus SCBM6,β-glucosidase,78.47,U/g,120,"Sugarcane bagasse: ground (5mm), washed, dried (50°C ; 24h). Wheat bran: NA.",None,NA,Inoculum (1E7 spores/gs) ; T°=45°C.,Substrate proportions (w/w): 1:1. The article focused on the use of the produced enzymes for sugarcane bagasse saccharification.,2017,63
186,mixture (wheat bran ; sugarcane bagasse),Aspergillus fumigatus SCBM6,xylanase,1774.5,U/g,24,"Sugarcane bagasse: ground (5mm), washed, dried (50°C ; 24h). Wheat bran: NA.",None,NA,Inoculum (1E7 spores/gs) ; T°=45°C.,Substrate proportions (w/w): 1:1. The article focused on the use of the produced enzymes for sugarcane bagasse saccharification.,2017,63
187,mixture (wheat bran ; sugarcane bagasse),Aspergillus niger SCBM1,β-glucosidase,43.02,U/g,144,"Sugarcane bagasse: ground (5mm), washed, dried (50°C ; 24h). Wheat bran: NA.",None,NA,Inoculum (1E7 spores/gs) ; T°=30°C.,Substrate proportions (w/w): 1:1. The article focused on the use of the produced enzymes for sugarcane bagasse saccharification.,2017,63
187,mixture (wheat bran ; sugarcane bagasse),Aspergillus niger SCBM1,β-xylosidase,78,U/g,144,"Sugarcane bagasse: ground (5mm), washed, dried (50°C ; 24h). Wheat bran: NA.",None,NA,Inoculum (1E7 spores/gs) ; T°=30°C.,Substrate proportions (w/w): 1:1. The article focused on the use of the produced enzymes for sugarcane bagasse saccharification.,2017,63
187,mixture (wheat bran ; sugarcane bagasse),Aspergillus niger SCBM1,xylanase,3289.58,U/g,144,"Sugarcane bagasse: ground (5mm), washed, dried (50°C ; 24h). Wheat bran: NA.",None,NA,Inoculum (1E7 spores/gs) ; T°=30°C.,Substrate proportions (w/w): 1:1. The article focused on the use of the produced enzymes for sugarcane bagasse saccharification.,2017,63
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),FPase,38,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman  design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),xylanase,352.9,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman  design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64
